Trade Date,Exchange Code,Asset Class,Product Code,Clearing Code,Product Description,Product Type,Underlying Product Code,Put/Call,Strike Price,Contract Year,Contract Month,Contract Day,Settlement,Settlement Cabinet Indicator,Open Interest,Total Volume,Globex Volume,Floor Volume,PNT Volume,Block Volume,EFP Volume,EOO Volume,EFR Volume,EFS Volume,EFB Volume,EFM Volume,SUB Volume,OPNT Volume,TAS Volume,TAS Block Volume,TAM Singapore Volume,TAM Singapore Block Volume,TAM London Volume,TAM London Block Volume,Globex Open Price,Globex Open Price Bid/Ask Indicator,Globex Open Price Cabinet Indicator,Globex High Price,Globex High Price Bid/Ask Indicator,Globex High Price Cabinet Indicator,Globex Low Price,Globex Low Price Bid/Ask Indicator,Globex Low Price Cabinet Indicator,Globex Close Price,Globex Close Price Bid/Ask Indicator,Globex Close Price Cabinet Indicator,Floor Open Price,Floor Open Price Bid/Ask Indicator,Floor Open Price Cabinet Indicator,Floor Open Second Price,Floor Open Second Price Bid/Ask Indicator,Floor High Price,Floor High Price Bid/Ask Indicator,Floor High Price Cabinet Indicator,Floor Low Price,Floor Low Price Bid/Ask Indicator,Floor Low Price Cabinet Indicator,Floor Close Price,Floor Close Price Bid/Ask Indicator,Floor Close Price Cabinet Indicator,Floor Close Second Price,Floor Close Second Price Bid/Ask Indicator,Floor Post-Close Price,Floor Post-Close Price Bid/Ask Indicator,Floor Post-Close Second Price,Floor Post-Close Second Price Bid/Ask Indicator,Delta,Implied Volatility,Last Trade Date
20140117,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",6.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.20842","0.1988677","20140221",
20140121,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",14.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.36598","0.2003628","20140221",
20140121,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",3.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.11156","0.2253253","20140221",
20140122,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",20.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.42202","0.2216424","20140221",
20140122,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",2.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.08184","0.2191331","20140221",
20140123,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",23.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4838","0.2184086","20140221",
20140123,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",1.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04748","0.2071481","20140221",
20140124,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",22.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.2000875","20140221",
20140124,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",1.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04654","0.2149871","20140221",
20140127,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",20.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.44848","0.2212737","20140221",
20140127,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",1.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04883","0.2133856","20140221",
20140128,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",30.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.58676","0.2223631","20140221",
20140128,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",1.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04234","0.2544613","20140221",
20140129,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",30.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","N","","","","","","","","0.54665","0.254926","20140221",
20140129,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-20","2014","03","00",22.0,"","60","60","0","60","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","20","","","","","22","","","20","","","22","","","","","","","","","0.45335","0.254926","20140221",
20140129,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",1.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","N","","","","","","","","0.04361","0.2503994","20140221",
20140130,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",46.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","N","","","","","","","","0.68007","0.2829328","20140221",
20140130,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-20","2014","03","00",14.0,"","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","N","","","","","","","","0.31993","0.2829328","20140221",
20140130,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",1.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","N","","","","","","","","0.03734","0.3027864","20140221",
20140131,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",50.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","N","","","","","","","","0.74248","0.2561647","20140221",
20140131,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-20","2014","03","00",10.0,"","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","N","","","","","","","","0.25752","0.2561647","20140221",
20140131,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",1.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","N","","","","","","","","0.03571","0.3237619","20140221",
20140203,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",40.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.68238","0.2610542","20140221",
20140203,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-20","2014","03","00",12.0,"","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31762","0.2610542","20140221",
20140203,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",1.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0377","0.3229084","20140221",
20140204,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",34.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","N","","","","","","","","0.69543","0.2265623","20140221",
20140204,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-20","2014","03","00",10.0,"","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","N","","","","","","","","0.30457","0.2265623","20140221",
20140204,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",1.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","N","","","","","","","","0.03802","0.3264817","20140221",
20140205,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",72.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","N","","","","","","","","0.78907","0.37166","20140221",
20140205,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-20","2014","03","00",10.0,"","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","N","","","","","","","","0.21093","0.37166","20140221",
20140205,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",1.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","N","","","","","","","","0.03105","0.4160182","20140221",
20140206,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",60.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","N","","","","","","","","0.73908","0.3658149","20140221",
20140206,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-20","2014","03","00",12.0,"","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","N","","","","","","","","0.26092","0.3658149","20140221",
20140206,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",1.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","N","","","","","","","","0.03313","0.396144","20140221",
20140207,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",55.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7182","0.3757583","20140221",
20140207,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-20","2014","03","00",13.0,"","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2818","0.3757583","20140221",
20140207,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",1.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03369","0.3977884","20140221",
20140210,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",56.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.76448","0.3796025","20140221",
20140210,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-20","2014","03","00",10.0,"","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.23552","0.3796025","20140221",
20140210,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",1.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03162","0.4574276","20140221",
20140211,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",64.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8129","0.3909289","20140221",
20140211,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-20","2014","03","00",6.0,"","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1871","0.3909289","20140221",
20140211,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",1.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02954","0.5040961","20140221",
20140212,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",32.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","64","N","","","","","","","","0.68903","0.2905789","20140221",
20140212,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-20","2014","03","00",10.0,"","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","N","","","","","","","","0.31097","0.2905789","20140221",
20140212,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",1.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","N","","","","","","","","0.03512","0.4309248","20140221",
20140213,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",50.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.78593","0.3622914","20140221",
20140213,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-20","2014","03","00",6.0,"","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.21407","0.3622914","20140221",
20140213,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",1.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03044","0.5135426","20140221",
20140214,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",60.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.85013","0.3829893","20140221",
20140214,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-20","2014","03","00",4.0,"","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.14987","0.3829893","20140221",
20140214,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",1.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02753","0.5834113","20140221",
20140218,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",57.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9545","0.3752622","20140221",
20140218,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-20","2014","03","00",1.0,"","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0455","0.3752622","20140221",
20140218,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",1.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.3752622","20140221",
